iter	Passed	Remaining
708	1684	691
709	1686	688
710	1688	686
711	1690	683
712	1693	681
713	1695	679
714	1698	676
715	1700	674
716	1702	671
717	1704	669
718	1707	667
719	1709	664
720	1711	662
721	1713	659
722	1715	657
723	1717	654
724	1719	652
725	1722	649
726	1724	647
727	1726	645
728	1728	642
729	1730	640
730	1732	637
731	1734	635
732	1736	632
733	1739	630
734	1741	627
735	1743	625
736	1746	623
737	1748	620
738	1750	618
739	1752	615
740	1754	613
741	1756	610
742	1758	608
743	1760	605
744	1762	603
745	1764	600
746	1766	598
747	1769	596
748	1771	593
749	1773	591
750	1775	588
751	1777	586
752	1779	583
753	1781	581
754	1783	578
755	1785	576
756	1787	573
757	1789	571
758	1791	568
759	1793	566
760	1796	564
761	1798	561
762	1801	559
763	1803	557
764	1805	554
765	1807	552
766	1810	549
767	1812	547
768	1814	545
769	1816	542
770	1819	540
771	1821	537
772	1823	535
773	1825	533
774	1827	530
775	1830	528
776	1832	525
777	1834	523
778	1836	521
779	1838	518
780	1841	516
781	1844	514
782	1847	512
783	1850	509
784	1852	507
785	1855	505
786	1858	502
787	1860	500
788	1863	498
789	1865	495
790	1867	493
791	1870	491
792	1872	488
793	1874	486
794	1877	484
795	1879	481
796	1881	479
797	1884	476
798	1886	474
799	1889	472
800	1891	470
801	1894	467
802	1897	465
803	1899	463
804	1902	460
805	1905	458
806	1907	456
807	1909	453
808	1912	451
809	1914	449
810	1916	446
811	1919	444
812	1921	442
813	1924	439
814	1927	437
815	1930	435
816	1933	433
817	1936	430
818	1939	428
819	1941	426
820	1944	424
821	1947	421
822	1949	419
823	1951	416
824	1954	414
825	1956	412
826	1959	409
827	1961	407
828	1963	404
829	1966	402
830	1970	400
831	1972	398
832	1975	396
833	1977	393
834	1980	391
835	1982	388
836	1984	386
837	1987	384
838	1989	381
839	1992	379
840	1994	377
841	1997	374
842	1999	372
843	2002	370
844	2004	367
845	2006	365
846	2008	362
847	2011	360
848	2013	358
849	2015	355
850	2018	353
851	2020	351
852	2023	348
853	2025	346
854	2028	343
855	2030	341
856	2032	339
857	2034	336
858	2037	334
859	2039	332
860	2042	329
861	2044	327
862	2047	324
863	2049	322
864	2052	320
865	2054	317
866	2056	315
867	2058	313
868	2061	310
869	2063	308
870	2065	305
871	2067	303
872	2069	301
873	2071	298
874	2074	296
875	2076	293
876	2078	291
877	2081	289
878	2083	286
879	2085	284
880	2088	282
881	2090	279
882	2093	277
883	2095	275
884	2098	272
885	2100	270
886	2102	267
887	2105	265
888	2107	263
889	2110	260
890	2112	258
891	2115	256
892	2117	253
893	2120	251
894	2122	249
895	2125	246
896	2127	244
897	2130	241
898	2132	239
899	2135	237
900	2137	234
901	2139	232
902	2142	230
903	2144	227
904	2146	225
905	2149	222
906	2151	220
907	2153	218
908	2156	215
909	2159	213
910	2161	211
911	2164	208
912	2166	206
913	2168	204
914	2171	201
915	2173	199
916	2175	196
917	2177	194
918	2180	192
919	2182	189
920	2184	187
921	2186	184
922	2188	182
923	2190	180
924	2192	177
925	2195	175
926	2197	173
927	2200	170
928	2202	168
929	2204	165
930	2206	163
931	2209	161
932	2211	158
933	2213	156
934	2216	154
935	2218	151
936	2220	149
937	2223	146
938	2225	144
939	2227	142
